,title,type,built_area,land_area,price,rooms,link
0,Sixth Avenue,Detached,9622,4477,11800000,6,stproperty.sg/listings/74041462/for-sale-sixth-avenue-freehold-2-story-brand-new-detached-bungalow-land
1,Chip Bee Gardens,Detached,3000,5400,9100000,5,stproperty.sg/listings/83640721/for-sale-chip-bee-gardens-build-your-dream-home-holland-vicinity
2,Holland Park,Detached,4000,7200,10000000,4,stproperty.sg/listings/85509451/for-sale-holland-park-rare-7200-sqft-bungalow-within-gcb-zone
3,Lutheran Road,Detached,7200,6100,13888888,7,stproperty.sg/listings/83993421/for-sale-lutheran-road-enjoy-a-beautiful-pool-in-your-own-ground
4,Palm avenue,Detached,4905,4905,7500000,8,stproperty.sg/listings/87305131/for-sale-palm-avenue-bungalow-near-east-coast-park
5,Mount Sinai,Detached,4000,6200,10500000,5,stproperty.sg/listings/84493841/for-sale-mount-sinai-rare-freehold-detached-at-d10-for-sale
6,Holland Grove Lane,Detached,8321,4306,10980000,6,stproperty.sg/listings/83776921/for-sale-holland-grove-lane-beautiful-house-don-t-miss-must-view
7,Ming Teck Park,Detached,5500,10080,13000000,6,stproperty.sg/listings/84500491/for-sale-ming-teck-park-2-storey-well-renovated-bungalow-for-sale-at-sixth
8,Brizay Park,Good-class Bungalow,10213,17808,24000000,8,stproperty.sg/listings/71756292/for-sale-brizay-park-near-king-albert-park-sixth-avenue-mrt
9,Holland Park,Detached,10000,7639,19800000,6,stproperty.sg/listings/83455302/for-sale-holland-park-3-years-house-suitable-for-multi-families-to-live
10,Leedon Park,Good-class Bungalow,10000,15000,30000000,5,stproperty.sg/listings/84706141/for-sale-leedon-park-modern-renovated-tip-top-gcb-walk-to-holland-vi
11,Brizay Park,Good-class Bungalow,7000,17000,24800000,5,stproperty.sg/listings/80677022/for-sale-brizay-park-gcb
12,Ban Guan Park,Detached,5000,6200,11800000,5,stproperty.sg/listings/78148192/for-sale-ban-guan-park-serene-surrounded-by-greenery-regular-shape-wi
13,Greenleaf View,Detached,7500,4700,11888000,5,stproperty.sg/listings/87071581/for-sale-greenleaf-view-brand-new-modern-detached-house-must-view
14,Holland Park,Detached,4000,7200,11000000,4,stproperty.sg/listings/84460921/for-sale-holland-park-rare-7200-sqft-bungalow-within-gcb-zone
15,Lutheran Road,Built-2012,6100,7158,13888800,6,stproperty.sg/listings/83938501/for-sale-lutheran-road-good-class-area-detached-house
16,Coronation Road West,Good-class Bungalow,5000,24800,33800000,4,stproperty.sg/listings/86054501/for-sale-coronation-road-west-old-gcb-elevated-subdivisible-dual-frontage-h
17,Brizay Park,Good-class Bungalow,7000,17000,24800000,5,stproperty.sg/listings/80677022/for-sale-brizay-park-gcb
18,Ashley Green,Detached,8500,15570,25000000,5,stproperty.sg/listings/84297161/for-sale-ashley-green-gcb-spacious-lush-landscape
19,Coronation Road West,Good-class Bungalow,9400,5050,10800000,6,stproperty.sg/listings/85936371/for-sale-coronation-road-west-brand-new-bungalow-103-coronation-road-west-c
20,Dalvey Villas,Good-class Bungalow,12700,15200,32000000,8,stproperty.sg/listings/79508082/for-sale-dalvey-villas-grand-and-exclusive-6-bedrooms-villa
21,Duchess Avenue,Detached,5600,6613,14500000,6,stproperty.sg/listings/85574201/for-sale-duchess-avenue-experience-european-allure-in-this-charming-bungal
22,Jervois Road,Detached,10000,15056,30000000,6,stproperty.sg/listings/83082592/for-sale-jervois-road-prime-gcb-area-near-embassies-and-orchard-rd
23,Swettenham Road,Good-class Bungalow,7000,15971,25500000,3,stproperty.sg/listings/84405961/for-sale-swettenham-road-good-class-bungalow-within-dempsey-hill-vicinity
24,Ewart Park,Good-class Bungalow,6500,17000,28888000,6,stproperty.sg/listings/85480751/for-sale-ewart-park-black-n-white-bungalow-non-conservation
25,MARGOLIOUTH ROAD,Good-class Bungalow,7800,17505,35000000,8,stproperty.sg/listings/86614761/for-sale-margoliouth-road-beautiful-corner-gcb
26,Mcmahon Park,Detached,3000,5146,8500000,4,stproperty.sg/listings/84794231/for-sale-mcmahon-park-good-frontage-potential-to-subdivide-into-a-pair-o
27,Seven Oaks,Good-class Bungalow,2500,9500,18000000,5,stproperty.sg/listings/83645591/for-sale-seven-oaks-old-bungalow-at-the-highest-pt-regular-land
28,Lutheran Road,Built-2012,6100,7158,13888800,6,stproperty.sg/listings/83938501/for-sale-lutheran-road-good-class-area-detached-house
29,Kings Road,Detached,4628,9800,14800000,4,stproperty.sg/listings/84781251/for-sale-kings-road-charming-bungalow-elevated-regular-land-1km-nyp
30,Coronation Road,Detached,5400,4923,12500000,7,stproperty.sg/listings/80484822/for-sale-coronation-road-beautiful-modern-bungalow-in-coronation-road-for-s
31,Holland Grove Lane,Detached,8321,4306,10980000,6,stproperty.sg/listings/83776921/for-sale-holland-grove-lane-beautiful-house-don-t-miss-must-view
32,Kings Garden,Detached,5000,8800,15000000,4,stproperty.sg/listings/83785861/for-sale-kings-garden-regular-flat-land-wide-frontage-1km-nyps-holl
33,Dalvey Villas,Good-class Bungalow,12500,15200,32000000,5,stproperty.sg/listings/83600991/for-sale-dalvey-villas-rare-gcb-on-dalvey-for-sale
34,MARGOLIOUTH ROAD,Good-class Bungalow,7500,17500,34990000,7,stproperty.sg/listings/84422881/for-sale-margoliouth-road-motivated-seller-don-t-miss
35,Lutheran Road,Detached,7148,7147,13888888,7,stproperty.sg/listings/84777551/for-sale-lutheran-road-bungalow-with-superd-location
36,Jervois Hill,Good-class Bungalow,11000,15191,39888888,8,stproperty.sg/listings/82020912/for-sale-jervois-hill-jervois-hill-gcb-chatsworth-with-unblocked-vie
37,Grove Drive,Detached,8320,4306,10980000,6,stproperty.sg/listings/85366001/for-sale-grove-drive-brand-new-detached-bungalows
38,Holland Green,Detached,5200,4950,4890000,5,stproperty.sg/listings/77604212/for-sale-holland-green-tranquil-living-with-style-superb-layout-with-2-sp
39,Ming Teck Park,Detached,5500,10080,13000000,6,stproperty.sg/listings/84500491/for-sale-ming-teck-park-2-storey-well-renovated-bungalow-for-sale-at-sixth
40,Holland Green,Good-class Bungalow,5000,4400,4500000,5,stproperty.sg/listings/86336391/for-sale-holland-green-holland-green-bungalow-4-5m
41,Astrid Hill,Good-class Bungalow,31500,31500,45000000,6,stproperty.sg/listings/87042881/for-sale-astrid-hill-astrid-hill-good-class-bungalow
42,Coronation Road,Detached,12280,8900,18500000,6,stproperty.sg/listings/77009112/for-sale-coronation-road-brand-new-1km-to-nyps-rgps-hci
43,Leedon Park,Good-class Bungalow,10000,15000,30000000,5,stproperty.sg/listings/84706141/for-sale-leedon-park-modern-renovated-tip-top-gcb-walk-to-holland-vi
44,Leedon Road,Good-class Bungalow,10000,16000,25000000,5,stproperty.sg/listings/85669661/for-sale-leedon-road-gcb-for-sale-near-holland-village
45,Ford Avenue,Good-class Bungalow,10500,15800,25000000,9,stproperty.sg/listings/79819342/for-sale-ford-avenue-rare-ford-avenue
46,White House Road,Good-class Bungalow,7200,17500,32000000,7,stproperty.sg/listings/86962631/for-sale-white-house-road-white-house-park-gcba-freehold-regular-land-50m-fr
47,Cable Road,Good-class Bungalow,8900,15141,31796000,6,stproperty.sg/listings/84276931/for-sale-cable-road-beautiful-modern-black-white-good-class-bungalow
48,One Tree Hill,Detached,8000,5000,16800000,5,stproperty.sg/listings/80755122/for-sale-one-tree-hill-brand-new-luxury-houses-on-the-fringe-of-orchard
49,Holland Park,Detached,10000,7639,19800000,6,stproperty.sg/listings/83455302/for-sale-holland-park-3-years-house-suitable-for-multi-families-to-live
50,Seven Oaks,Good-class Bungalow,2500,9500,18000000,5,stproperty.sg/listings/83645591/for-sale-seven-oaks-old-bungalow-at-the-highest-pt-regular-land
51,Princess Of Wales Park,Detached,5600,6613,14500000,6,stproperty.sg/listings/84329561/for-sale-princess-of-wales-park-beautiful-detached-house-near-hwa-chong-raffles-g
52,Jervois Hill,Good-class Bungalow,15170,15170,35000000,5,stproperty.sg/listings/86564211/for-sale-jervois-hill-gcb-land-for-sale-near-orchard-rd-near-3-mrt
53,One Tree Hill,Detached,8000,5000,16800000,5,stproperty.sg/listings/80755162/for-sale-one-tree-hill-brand-new-luxury-houses-on-the-fringe-of-orchard
54,Holland Park,Detached,4000,7200,11000000,4,stproperty.sg/listings/84460921/for-sale-holland-park-rare-7200-sqft-bungalow-within-gcb-zone
55,Holland Park,Detached,4000,7200,10000000,4,stproperty.sg/listings/85509451/for-sale-holland-park-rare-7200-sqft-bungalow-within-gcb-zone
56,Rebecca Park,Good-class Bungalow,7400,20445,29990000,6,stproperty.sg/listings/82754452/for-sale-rebecca-park-modern-resort-style-timur-design-high-ceiling
57,Cluny Road,Good-class Bungalow,5500,15300,30000000,5,stproperty.sg/listings/85085341/for-sale-cluny-road-botanic-garden-gcb-elevated-gcb-100-privacy-q
58,Holland Grove Lane,Detached,8321,4306,10980000,6,stproperty.sg/listings/83776921/for-sale-holland-grove-lane-beautiful-house-don-t-miss-must-view
59,Victoria Park,Good-class Bungalow,7000,21000,29999999,7,stproperty.sg/listings/83910651/for-sale-victoria-park-call-me
60,Peirce Road,Good-class Bungalow,12000,16200,32800000,6,stproperty.sg/listings/72572822/for-sale-peirce-road-resort-home-you-call-home
61,Astrid Hill,Good-class Bungalow,5000,31358,45000000,5,stproperty.sg/listings/87169801/for-sale-astrid-hill-a-charming-good-class-bungalow-on-astrid-hill
62,Mount Sinai,Detached,4000,6200,10500000,5,stproperty.sg/listings/84493841/for-sale-mount-sinai-rare-freehold-detached-at-d10-for-sale
63,Sixth Avenue,Detached,9622,4455,12800000,6,stproperty.sg/listings/81236052/for-sale-sixth-avenue-brand-new-tastefully-and-thoughtfully-renovated
64,Old Holland Road,Good-class Bungalow,11000,25800,32800000,6,stproperty.sg/listings/87065271/for-sale-old-holland-road-view-to-appreciate-the-european-style-majestic-de
65,Sixth Avenue,Detached,3500,12500,20500000,3,stproperty.sg/listings/80300542/for-sale-sixth-avenue-build-your-mansion-in-the-sky-bukit-timah
66,Coronation Road,Detached,8900,9120,18500000,7,stproperty.sg/listings/79356422/for-sale-coronation-road-new-d10-bungalow-near-mrt-schools-ideal-for-mult
67,Princess Of Wales Park,Detached,5600,6613,14500000,6,stproperty.sg/listings/84329561/for-sale-princess-of-wales-park-beautiful-detached-house-near-hwa-chong-raffles-g
68,Robin Close,Detached,5000,8580,16000000,5,stproperty.sg/listings/84238671/for-sale-robin-close-nice-piece-of-bungalow-land-situated-within-mins-w
69,MARGOLIOUTH ROAD,Detached,7500,17500,35000000,7,stproperty.sg/listings/85132071/for-sale-margoliouth-road-margoliouth-bungalow-for-sale
70,Lewis Road,Detached,11000,9600,16800000,9,stproperty.sg/listings/87065331/for-sale-lewis-road-walk-to-mrt-beautiful-plot-regular-land-dual-fr
71,Swettenham Road,Good-class Bungalow,9000,18428,30000000,5,stproperty.sg/listings/87018961/for-sale-swettenham-road-dual-frontage-rare-flat-plot
